time,strain_xx,strain_xy,strain_yy,stress_xx,stress_xy,stress_yy
0,0,0,0,0,0,0
0.5,0,0,0,0,0,0
1,0,0,0,0,0,0
1.5,0,0,0,0,0,0
2,0,0,0,0,0,0
2.5,0,0,0,0,0,0
3,0,0,0,0,0,0
3.5,0,0,0,0,0,0
4,0,0,0,0,0,0
4.5,0,0,0,0,0,0
5,0,0,0,0,0,0
5.5,0,0,0,0,0,0
6,-3.3303619332779e-12,-3.489346600863e-13,4.1723519275377e-14,-1.3903288361237,-0.125494044417,-0.17756126108261
6.5,-1.5073235831546e-11,-1.3806939729541e-12,-1.8278247734782e-12,-6.4102962066475,-0.49656537623787,-1.646595738395
7,-2.5995396042293e-12,-2.2885424529359e-13,-2.8337513277145e-13,-1.1027401684898,-0.0823072285705,-0.26973364805315
7.5,-3.5133376287076e-11,-3.1821481491562e-12,-1.3244715697791e-12,-14.770498102193,-1.144456790486,-2.6111551775512
8,-2.2744788067996e-13,-2.0515452532693e-14,-2.7556715702401e-14,-0.096714671686581,-0.0073783645073716,-0.024823989545529
8.5,-1.0159173468745e-11,-9.3479989473747e-13,-1.1572228043167e-12,-4.3137884371651,-0.33619996214241,-1.0762447771516
9,-8.9330680475637e-13,-9.0083733083343e-14,2.4527638561008e-15,-0.37343813978061,-0.032398535582606,-0.051278996683146
9.5,-4.0419968987782e-13,-3.7178761996913e-14,-4.9644414312333e-14,-0.17193741264982,-0.01337130913924,-0.044421918806092
10,-1.6816532602679e-12,-1.8607641304502e-13,2.4014763012118e-14,-0.70191910073663,-0.066922218726717,-0.088477092363977
